연번,판매소명,소재지,주소,전화번호,latitude,longitude
1,대백마트 내당점,내당1동,통학로 54,053-523-0010,35.86118833,128.5646619
2,미니마트,내당1동,평리로 358-1,053-555-1555,35.85855596,128.5353472
3,미카엘소비센터,내당1동,서대구로 6길 33,053-551-7375,35.86683808,128.5560177
4,생큐마트비타민25,내당1동,달구벌대로 361길 7,053-525-8525,35.85164933,128.5106585
5,세븐일레븐 대구내당이편한점,내당1동,통학로 7길 29,053-553-0746,35.86118833,128.5646619
6,알뜰슈퍼,내당1동,서대구로 10길 52,053-557-0652,35.86683808,128.5560177
7,파워마트,내당1동,서대구로 8길 63,053-571-1222,35.86683808,128.5560177
8,GS25 내당달서로점,내당2.3동,달서로 12길 48,053-566-4959,35.86246909,128.5715842
9,GS25 대구새길점,내당2.3동,달서로 4길 51,,35.86246909,128.5715842
10,세븐일레븐 서문시장점,내당2.3동,큰장로 97-2,,35.86166768,128.57418
11,신바람 홈마트,내당2.3동,달서로 32,053-573-2211,35.86246909,128.5715842
12,약목할인마트,내당2.3동,달구벌대로 377길 43,053-537-6622,35.85164933,128.5106585
13,이마트24 대구서구서도점,내당2.3동,달구벌대로 371길 60,053-553-1638,35.85164933,128.5106585
14,현대마트,내당2.3동,달구벌대로 377길 7-1,053-526-0240,35.85164933,128.5106585
15,홀마트,내당2.3동,달서로 5길 24,053-567-0004,35.86246909,128.5715842
16,CU 내당광장타운점,내당4동,달구벌대로 1707 상가3동1층,,35.86008026,128.4617365
17,CU 내당행복점,내당4동,서대구로 7길 23,053-522-0287,35.86683808,128.5560177
18,GS25 내당삼익점,내당4동,서대구로 7길 2,053-566-8972,35.86683808,128.5560177
19,GS25 내당센타점,내당4동,당산로 47길 13,053-566-0730,35.84101569,128.543167
20,나래마트,내당4동,당산로 51길 30,053-554-7576,35.84101569,128.543167
21,드림마트,내당4동,서대구로 7길 8-4,053-563-1777,35.86683808,128.5560177
22,마트프라임광장점,내당4동,달구벌대로 337길 9,053-521-4787,35.85164933,128.5106585
23,세븐일레븐 대구내당뉴타운점,내당4동,서대구로 5길 71,,35.86683808,128.5560177
24,셀마트,내당4동,평리로 50길 29,053-555-9833,35.85855596,128.5353472
25,우리마트,내당4동,서대구로 3길 59-26,053-525-9394,35.86683808,128.5560177
26,이마트24 내당마루점,내당4동,평리로 52길 31,053-566-4620,35.85855596,128.5353472
27,코사마트서림점,내당4동,서대구로 11길 24,053-622-4497,35.86683808,128.5560177
28,파워마트 삼익뉴타운점,내당4동,평리로 236,053-564-2100,35.85855596,128.5353472
29,팔공마트,내당4동,당산로 51길 20,053-552-6680,35.84101569,128.543167
30,하나마트,내당4동,달구벌대로 329길 78,053-523-2234,35.85164933,128.5106585
31,GS25 대구비산센터점,비산1동,북비산로 61길 18-1,,35.87839475,128.5440084
32,대백마트 비산점,비산1동,통학로 46길 37,053-558-2722,35.86118833,128.5646619
33,동네슈퍼,비산1동,통학로 49길 21,,35.86118833,128.5646619
34,드림마트,비산1동,북비산로 59길 37,053-527-4803,35.87839475,128.5440084
35,수마트,비산1동,북비산로 57길 14,053-555-4188,35.87839475,128.5440084
36,쉐어그린마트,비산1동,달서로 43길 18,053-566-2617,35.86246909,128.5715842
37,원고개마트,비산1동,북비산로 65길 6-3,053-522-0023,35.87839475,128.5440084
38,이마트24 R대구원고개점,비산1동,달서로 43길 4,,35.86246909,128.5715842
39,코사마트 태원점,비산1동,달서로 45길 19-1,053-565-9139,35.86246909,128.5715842
40,홈마트,비산1동,통학로 50길 67-1,053-522-9356,35.86118833,128.5646619
41,GS25 비산스타점,비산2.3동,달서로 36길 9,,35.86246909,128.5715842
42,OK마트,비산2.3동,북비산로 360,053-567-4999,35.87839475,128.5440084
43,벨마트 비산점,비산2.3동,국채보상로 79길 27-2,053-524-7339,35.87176385,128.5592535
44,우리동네 원마트,비산2.3동,국채보상로 81길 30-1,053-525-8130,35.87176385,128.5592535
46,참할인마트,비산2.3동,국채보상로 75길 8,053-522-5969,35.87176385,128.5592535
47,필마트,비산2.3동,달서로 30길 7,053-558-6739,35.86246909,128.5715842
48,필마트 인동촌점,비산2.3동,북비산로 74길 27,053-561-7959,35.87839475,128.5440084
49,홈할인마트,비산2.3동,달서로 32길 10,053-566-3792,35.86246909,128.5715842
50,CU 비산산호점,비산4동,통학로 18길 50,053-552-8295,35.86118833,128.5646619
51,대동슈퍼,비산4동,달서로 12길 11-1,053-571-5159,35.86246909,128.5715842
52,대백마트 서문점,비산4동,달서로 108,053-561-6688,35.86246909,128.5715842
53,드림마트,비산4동,국채보상로 72길 20,053-527-4556,35.87176385,128.5592535
54,세종마트,비산4동,달서로 57,053-565-8818,35.86246909,128.5715842
55,셀마트,비산4동,달서로 12길 66,053-561-6292,35.86246909,128.5715842
56,한솔유통,비산4동,국채보상로 76길 20-1,053-571-2825,35.87176385,128.5592535
57,CU 서대구 센트럴자이점,비산5동,고성로 42,,35.88683794,128.5742172
58,KS마트,비산5동,팔달로 32길 13-1,,37.28572183,127.0075978
59,만평생필유통,비산5동,달서천로 57길 20,053-352-7414,35.88184622,128.5498576
60,무지개유통,비산5동,달서천로 59길 21,053-355-5711,35.88184622,128.5498576
61,성서슈퍼,비산5동,서대구로 68길 65,053-358-0182,35.86683808,128.5560177
62,이마트24 서대구센트럴자이점,비산5동,고성로 48-1,,35.88683794,128.5742172
63,홈마트,비산5동,고성로 12,053-246-2858,35.88683794,128.5742172
64,궁정할인마트,비산6동,국채보상로 67안길 14,053-571-1458,35.87176385,128.5592535
65,대경할인마트,비산6동,문화로 335,053-551-9800,35.91238049,128.8123649
66,동아마트,비산6동,달서로 25길 21,053-522-5675,35.86246909,128.5715842
67,매일유통,비산6동,국채보상로 69길 20,053-566-0736,35.87176385,128.5592535
68,세븐일레븐 대구비산늘푸른점,비산6동,국채보상로 67길 36,,35.87176385,128.5592535
69,현대할인마트,비산6동,통학로 40길 62,053-557-2227,35.86118833,128.5646619
70,경북마트,비산7동,서대구로 63안길 18,053-353-7993,35.86683808,128.5560177
71,나이스마트 만평점,비산7동,서대구로 62길 69,053-352-3009,35.86683808,128.5560177
72,대백마트 북부점,비산7동,서대구로 62길 8,053-356-9356,35.86683808,128.5560177
73,대보쇼핑,비산7동,달서천로 53길 22,053-351-5531,35.88184622,128.5498576
74,보성마트,비산7동,염색공단로 11길 35,053-352-3712,35.88543151,128.5449517
75,북부호산슈퍼,비산7동,서대구로 296,053-357-0909,35.86683808,128.5560177
76,빅세일마트,비산7동,서대구로 62길 28,053-354-4710,35.86683808,128.5560177
77,세븐일레븐 대구비산드림점,비산7동,염색공단천로 2,,35.89216335,128.5530854
78,신우유통 비산7호점,비산7동,달서천로 49안길 21,053-353-1422,35.88184622,128.5498576
79,신우유통 진천팰리스점,비산7동,달서천로 49길 28-1,053-639-6225,35.88184622,128.5498576
80,코사마트 영진점,비산7동,달서천로 49길 35,053-341-7929,35.88184622,128.5498576
81,파워마트,비산7동,달서천로 41길 86,053-352-2000,35.88184622,128.5498576
82,GS25 평리타운점,평리1동,통학로 140,,35.86118833,128.5646619
83,거봉마트,평리1동,북비산로 310,053-561-9393,35.87839475,128.5440084
84,나이스마트,평리1동,통학로 30길 8,053-566-8682,35.86118833,128.5646619
85,대경마트(문화로),평리1동,문화로 300-1,053-552-7585,35.91238049,128.8123649
86,대경마트(통학로),평리1동,통학로 40길 26,053-565-3438,35.86118833,128.5646619
87,대경유통,평리1동,통학로 164,053-562-7898,35.86118833,128.5646619
88,생큐마트 경북유통,평리1동,통학로 38길 15-3,053-563-4268,35.86118833,128.5646619
89,신우유통 삼거리점,평리1동,통학로 28길 37,053-553-5170,35.86118833,128.5646619
90,웰빙할인마트,평리1동,북비산로 58길 21-1,053-557-7246,35.87839475,128.5440084
91,정명슈퍼,평리1동,통학로 38길 5,053-565-7839,35.86118833,128.5646619
92,CU 평리 롯데캐슬점,평리2동,국채보상로 316,,35.87176385,128.5592535
93,O.K마트 평리점,평리2동,통학로 90,053-532-5533,35.86118833,128.5646619
94,만복농산,평리2동,국채보상로 66길 31,053-566-2852,35.87176385,128.5592535
95,신세계소비자센타,평리2동,통학로 20길 30,053-566-6140,35.86118833,128.5646619
96,평리 유마트,평리2동,국채보상로 316,053-571-7757,35.87176385,128.5592535
97,형제문구사,평리2동,통학로 18길 15-1,053-554-1691,35.86118833,128.5646619
98,CU 대구폴리텍대,평리3동,서대구로 166,053-568-9922,35.86683808,128.5560177
99,CU 서구대평리점,평리3동,문화로 49길 33,,35.91238049,128.8123649
100,경북농산마트,평리3동,통학로 45길 35,053-562-1613,35.86118833,128.5646619
101,대경유통,평리3동,국채보상로 45길 20,053-565-4382,35.87176385,128.5592535
102,대백마트 대평리점,평리3동,문화로 49길 25,053-561-2229,35.91238049,128.8123649
103,마트프라임 대평리점,평리3동,북비산로 230,053-562-2256,35.87839475,128.5440084
104,바우어슈퍼렛,평리3동,문화로 43길 3,053-565-5582,35.91238049,128.8123649
105,상주양곡,평리3동,문화로 49길 1-11,053-551-8686,35.91238049,128.8123649
106,이마트24 대구서구평리점,평리3동,"통학로 193, 1층",,35.86118833,128.5646619
107,이마트24 대구평리점,평리3동,문화로 231,053-552-2346,35.91238049,128.8123649
108,퍼팩트 마트,평리3동,국채보상로 45길 33,053-567-0227,35.87176385,128.5592535
109,홈마트 평리점,평리3동,문화로 278,053-522-2009,35.91238049,128.8123649
110,CU 평리동방점,평리4동,국채보상로 42길 12,053-527-2297,35.87176385,128.5592535
111,GS25 평리동서점,평리4동,국채보상로 42길 46,,35.87176385,128.5592535
112,대백마트 중평점,평리4동,평리로 57길 25,053-553-1921,35.85855596,128.5353472
113,대백마트 평리점,평리4동,국채보상로 50길 10,053-568-5566,35.87176385,128.5592535
114,세븐일레븐 대구평리청구점,평리4동,평리로 57길 7,,35.85855596,128.5353472
115,슈퍼맨할인마트,평리4동,국채보상로 50길 62,053-525-6335,35.87176385,128.5592535
116,신대경할인마트,평리4동,국채보상로 52길 53,053-553-9935,35.87176385,128.5592535
117,연우유통,평리4동,"평리로 57길 49, 1층",,35.85855596,128.5353472
118,오케이포인트마트 평리점(48길),평리4동,국채보상로 48길 32,053-553-8585,35.87176385,128.5592535
119,원마트,평리4동,국채보상로 52길 9,053-561-8486,35.87176385,128.5592535
120,위천청과마트,평리4동,국채보상로 46길 64,053-558-9562,35.87176385,128.5592535
121,이마트24 대구평리청구점,평리4동,"서대구로 77, 상가 111호",,35.8610318,128.5563237
122,충남할인마트,평리4동,국채보상로 48길 61,053-567-0786,35.87176385,128.5592535
123,케이마트,평리4동,국채보상로 236,053-562-7778,35.87176385,128.5592535
124,필마트,평리4동,국채보상로 52길 33,053-567-2223,35.87176385,128.5592535
125,하나로마트 서대구 농협 본점,평리4동,서대구로 92,053-562-3530,35.86683808,128.5560177
126,GS25 서대구서한퍼스트,평리5동,"국채보상로 37길 38, 1층 10호",,35.87176385,128.5592535
127,신세계마트,평리5동,국채보상로 161-1,053-554-1114,35.87176385,128.5592535
128,코리아마트 평리점,평리5동,서대구로 183-1,053-567-0357,35.86683808,128.5560177
129,한마음마트,평리5동,국채보상로 31길 8,053-563-1740,35.87176385,128.5592535
130,k할인마트,평리6동,문화로 33길 24,053-552-9008,35.91238049,128.8123649
131,대백마트 이현점,평리6동,문화로 33길 30,053-571-7430,35.91238049,128.8123649
132,동남할인마트,평리6동,서대구로45길11-16,053-556-4632,35.86683808,128.5560177
133,이현할인마트,평리6동,북비산로 37길 11,053-566-1554,35.87839475,128.5440084
134,홈마트,평리6동,북비산로 31길 12,053-527-0377,35.87839475,128.5440084
135,CU 대구상리점,상중이동,"새방로 27길 1, 1층(상리동)",,35.85969817,128.5214029
136,세븐일레븐 대구상리점,상중이동,가르뱅이로 70(상리동),053-562-3822,35.88335748,128.5250236
137,청송슈퍼,상중이동,가르뱅이로 59(상리동),053-552-5078,35.88335748,128.5250236
138,007마트 죽전점,상중이동,죽전길 122(중리동),053-563-2628,34.84385517,128.5202991
139,경북마트,상중이동,와룡로 72길 54(중리동),053-526-6800,35.85592336,128.5398243
140,대백마트중리점,상중이동,국채보상로 34길 40(중리동),053-525-7799,35.87176385,128.5592535
141,마트프라임,상중이동,와룡로 72길 65(중리동),053-567-0260,35.85592336,128.5398243
142,성주할인마트,상중이동,당산로 324(중리동),053-567-1337,35.84101569,128.543167
143,세븐일레븐 대구디센터점,상중이동,"와룡로 307, B133(중리동)",,35.85592336,128.5398243
144,세븐일레븐 대구의료원점,상중이동,평리로 144(중리동),053-521-8049,35.85855596,128.5353472
145,세븐일레븐 대구중리롯데캐슬점,상중이동,"국채보상로 34길 12, 상가 114호(중리동)",053-523-1711,35.86678679,128.6236611
146,세븐일레븐 대구중리일신점,상중이동,당산로 47길 69(중리동),,35.84101569,128.543167
147,이마트24 대구중리점,상중이동,국채보상로 34안길 14(중리동),053-525-1106,35.87176385,128.5592535
148,홈마트,상중이동,달구벌대로 329길 127(중리동),053-552-2950,35.85164933,128.5106585
149,홈마트,상중이동,국채보상로 38길 8(중리동),053-525-1915,35.87176385,128.5592535
150,이현슈퍼,상중이동,문화로 17길 46-19(이현동),053-554-2428,35.91238049,128.8123649
151,007마트 원대시장점,원대동,달서로 54길 11,053-358-1355,35.86246909,128.5715842
152,CU 서대구센트럴자이원대점,원대동,"고성로 33, 상가 402동 108호",,35.88683794,128.5742172
153,나이스마트,원대동,고성로 27,053-354-2345,35.88683794,128.5742172
154,대구할인마트,원대동,달서로 54길 6,053-358-5037,35.86246909,128.5715842
155,대남유통,원대동,원대로 17길 9,053-355-2282,37.75555593,128.8818794
156,세븐일레븐 대구북구청역,원대동,"원대로 13길 2, 103호",053-356-3626,37.75555593,128.8818794
157,세븐일레븐 서대구센트럴자이점,원대동,"고성로 33, 상가 405동 106호",,35.88683794,128.5742172
158,신우유통 원대점,원대동,고성로 15길 37,053-351-1932,35.88683794,128.5742172
159,웰마트,원대동,달서천로 83길 27,053-356-9330,35.88184622,128.5498576
160,유진유통,원대동,달서천로 425,053-266-4560,35.88184622,128.5498576
161,필마트,원대동,원대로 13길 53,053-719-4080,37.75555593,128.8818794
162,현대마트,원대동,달서천로 74길 2-1,053-351-5765,35.88184622,128.5498576
163,화창할인마트,원대동,고성로 91,053-353-9036,35.88683794,128.5742172
164,나이스마트 대신점,대신동,달성공원로 2,053-292-5999,35.87131699,128.5792938
165,오케이포인트마트 대신점,대신동,달구벌대로 389길 56,053-254-8003,35.85164933,128.5106585
