행정동,판매소명,전화번호,주소,데이터기준일자,latitude,longitude
산본1동,(주) 칠공 오케이마트,031-3990-1811,"경기도 군포시 산본천로199번길 39, 제상가동 1층(산본동,산본종합상가) (산본동,산본종합상가)",2024-05-23,37.36019522,126.9278637
군포1동,(주) 코리아세븐,031-9254-2540,"서울특별시 중구 소월로 3(남창동, 롯데손해보험빌딩)",2024-05-23,37.55854134,126.9754116
오금동,(주) 코리아세븐 산본세종점,031-1111-9940,"경기도 군포시 산본천로 34-46, 제일반상가동 101호(산본동, 주공6단지 세종@)",2024-05-23,37.35960916,126.9283944
군포2동,(주) 한국유통,031-398-8114,"경기도 군포시 고산로250번길 13(당동, 한국유통할인매장)",2024-05-23,37.36796278,126.9282208
재궁동,(주)라만 이마트에브리데이 산본점,031-391-8706,"경기도 군포시 고산로539번길 7-6, 상가동 지하층 1호(산본동, 묘향롯데아파트 상가)",2024-05-23,37.3640125,126.9255356
송부동,(주)부국화인,031-479-3511,"경기도 안양시 동안구 엘에스로 92, 6동 120호(호계동, 국제유통단지)",2024-05-23,37.36999956,126.953313
군포2동,(주)산본우리농산물,031-391-1718,"경기도 군포시 산본로432번길 27, 상가동 108호(산본동, 한양목련아파트상가)",2024-05-23,37.36682751,126.9283618
부곡동,(주)서암척영업소,,"경기도 군포시 번영로28번길 45-18, 101호(부곡동)",2024-05-23,37.32315699,126.9400319
수리동,(주)영진크린,031-427-3488,경기도 군포시 당산로155번길 12 (금정동),2024-05-23,37.35249722,126.9445298
오금동,(주)이랜드킴스클럽 산본점,031-390-5000,"경기도 군포시 번영로 504, 산본점1층(산본동, 산본역사 뉴코아)",2024-05-23,37.357857,126.9306346
군포2동,(주)이마트트레이더스 군포점,031-361-3453,"경기도 군포시 삼성로 74, 고객만족센터(1층)(부곡동, 트레이더스 군포점)",2024-05-23,37.34040152,126.9347486
송부동,(주)일등온마트,031-429-2004,"경기도 의왕시 경수대로391번길 11, 일등온마트(오전동, 태원공업(주))",2024-05-23,37.35305029,126.9695945
군포2동,(주)초록유통,,"경기도 군포시 삼성로20번길 3-8, 1층,2층",2024-05-23,37.33768611,126.9327784
오금동,(주)쿱스토어 경기 동남부 산본점,031-399-4567,"경기도 군포시 산본로 394, 102, 103호(산본동, 대림프라자)",2024-05-23,37.36515212,126.9296933
오금동,(주)하나로문구,031-394-0735,"경기도 군포시 광정로 122, B01호(주몽아파트10단지종합상가)(산본동, 주몽아파트)",2024-05-23,37.36313539,126.927096
오금동,24시 슈퍼,031-396-0720,"경기도 군포시 번영로 497, 102호(산본동, 금화프라자)",2024-05-23,37.35831526,126.9322908
산본1동,25시 할인마트,,"경기도 군포시 군포로 775, 1층(산본동)",2024-05-23,37.35362209,126.9455453
수리동,CU 군포쌍용점,,경기도 군포시 용호2로 47,2024-05-23,37.34363216,126.9383956
군포1동,CU 군포아이티밸리점,,"경기도 군포시 고산로148번길 17, 1층(당정동, 군포IT밸리)",2024-05-23,37.34634518,126.9430899
군포1동,CU 군포역전점,031-429-4943,"경기도 군포시 군포역1길 32, 1층(당동)",2024-05-23,37.35406854,126.9484849
군포1동,CU 군포첨단점,031-462-5310,"경기도 군포시 군포첨단산업2로8번길 26, 1층(부곡동)",2024-05-23,37.32640448,126.9430361
광정동,CU 군포한라점,,"경기도 군포시 번영로 378, 201호(산본동, 인화교육센타)",2024-05-23,37.35816397,126.9345268
산본2동,CU 산본래미안점,031-427-0555,"경기도 군포시 금산로 89, 1115,1116호(산본동, 래미안 하이어스 아파트 상가(145동))",2024-05-23,37.36807846,126.9379662
금정동,CU 산본설악마을점,031-395-5912,"경기도 군포시 수리산로 102, 분산산가동 103호(산본동, 설악아파트)",2024-05-23,37.35812802,126.9168521
산본2동,CU 산본하이어스점,031-398-4765,"경기도 군포시 금산로 91-1, 146동 2101호(산본동, 래미안 하이어스 아파트 상가(146동))",2024-05-23,37.36807846,126.9379662
군포1동,CU 한세대학교점,,"경기도 군포시 한세로 30, 101호(당정동, 한세대학교)",2024-05-23,37.34585294,126.9528678
오금동,CU삼성은혜점,031-393-6639,"경기도 군포시 고산로646-28, 107호(산본동, 장미아파트상가)",2024-05-23,37.36744314,126.9323896
궁내동,DC마트,031-477-3334,"경기도 군포시 금당로 166, 102호(금정동)",2024-05-23,37.35519323,126.9434486
군포1동,GS25 군포고산로점,031-427-4816,"경기도 군포시 고산로151번길 3, 104호(당정동, SK프라자)",2024-05-23,37.34629711,126.9448701
궁내동,GS25 군포고점,,"경기도 군포시 번영로550번길 23, 102호(금정동, 주공1단지 상가)",2024-05-23,37.34948773,126.9265597
수리동,GS25 군포공단로점,031-427-2520,"경기도 군포시 공단로 180, 101호(금정동)(금정동)",2024-05-23,37.34653213,126.9487045
산본2동,GS25 군포대림,,"경기도 군포시 금산로 47, 103호(산본동, 산본2차 이-편한세상)",2024-05-23,37.36591154,126.9367042
대야동,GS25 군포대야미점,031-407-9383,"경기도 군포시 대야2로143번길 26, 1층(대야미동, 현대프라자)",2024-05-23,37.33198337,126.916191
수리동,GS25 군포번영점,,"경기도 군포시 금산로1, 상가 101호 (금정동, 아산 나부빌)",2024-05-23,37.3627728,126.941054
부곡동,GS25 군포부곡점,,"경기도 군포시 송부로291번안길 3-14, 104호(부곡동)",2024-05-23,37.31431,126.9154787
군포2동,GS25 군포삼성로점,031-399-8177,"경기도 군포시 삼성로 6, 101호(부곡동)",2024-05-23,37.33768611,126.9327784
광정동,GS25 군포삼익점,031-399-8177,"경기도 군포시 오금로 36, 203호(금정동, 삼익소월아파트 상가)",2024-05-23,37.35282386,126.9327196
오금동,GS25 군포수리산점,031-399-0775,"경기도 군포시 수리산로203번안길 38, 1층(산본동)",2024-05-23,37.3560407,126.9210323
군포1동,GS25 군포스카이점,031-8008-0013,"경기도 군포시 농심로 2, 103호(당정동, LT삼보 스카이비즈)",2024-05-23,37.36001529,126.9502162
궁내동,GS25 군포시청점,031-427-2524,"경기도 군포시 번영로561번길 19, 1층(금정동)",2024-05-23,37.32315699,126.9400319
군포1동,GS25 군포역점,,"경기도 군포시 군포로 533, 1층 (당동)",2024-05-23,37.35362209,126.9455453
군포2동,GS25 군포용호점,031-390-6772,"경기도 군포시 용호2로54번길 11, 상가동 101호(당동, 주공3단지아파트)",2024-05-23,37.3446982,126.9448088
군포1동,GS25 군포으뜸점,031-427-4740,경기도 군포시 당산로38번길 4(당동),2024-05-23,37.35249722,126.9445298
군포1동,GS25 군포일동점,031-396-4249,경기도 군포시 산본로234번안길 14(당동),2024-05-23,37.35404339,126.9554388
군포2동,GS25 군포주공점,031-392-0853,경기도 군포시 용호2로 9,2024-05-23,37.34363216,126.9383956
수리동,GS25 군포한림점,031-429-4759,"경기도 군포시 공단로 294, 1층(금정동, 한림테크노빌딩)",2024-05-23,37.37039127,126.9450173
