연번,지정번호,판매소명 ,주소,latitude,longitude
1,구월1동-026,하나둘마트,인천광역시 남동구 인주대로721번길 25 (구월동),37.450617073,126.701896496
2,구월1동-065,미니스톱 구월시청점,인천광역시 남동구 미래로 21 (구월동) 1층 106~107호,37.450816276,126.704722648
3,구월1동-129,CU 구월형제,인천광역시 남동구 남동대로725번길5 (구월동),37.388054686,126.685997980
4,구월1동-170,시연이네마트(오전/30),인천광역시 남동구 남동대로712번길 15(구월동),37.388054686,126.685997980
5,구월1동-215,GS25 인천인주점,인천광역시 남동구 인주대로676번길 10(구월동),37.450617073,126.701896496
6,구월1동-216,GS25구월명일점(오전/15),인천광역시 남동구 구월남로182 10호(구월동),37.453526601,126.702352054
7,구월1동-227,GS25 구월아시아드점(오전/35),인천광역시 남동구 선수촌로 27 (구월동),37.442004698,126.714447246
8,구월1동-233,원할인마트,인천광역시 남동구 용천로5번길 46(구월동),37.466137987,126.714550145
9,구월1동-235,남동구도시관리공단,인천광역시 남동구 만수로19번길 10(만수동),37.457816282,126.729584966
10,구월1동-241,인천문구센타,"인천광역시 남동구 선수촌공원로5, C동 201호(구월동, 구월테크노밸리)",37.439551810,126.709616022
11,구월1동-248,GS25 구월만월,"인천광역시 남동구 용천로17번길 3, A동 101호(구월동)",37.461051691,126.714455074
12,구월1동-256,CU 구월캐슬골드점(오전/11),인천광역시 남동구 구월남로 228(구월동) 104~106호,37.453526601,126.702352054
13,구월1동-261,씨유 구월아시아드점(오전/36),"인천광역시 남동구 선수촌로 8, 809동 101,102호 (구월동, 구월 아시아드 선수촌 8단지 상가)",37.440165644,126.714997582
14,구월1동-283,지에스25 간석남부역점,인천광역시 남동구 석산로9번길 26(간석동) 1층,37.460123793,126.702889998
15,구월1동-310,지에스25 만수신대동점,인천광역시 남동구 만수서로83번길 63-2(만수동) 101호,37.461390600,126.731160799
16,구월1동-315,코리아세븐 구월성리점,인천광역시 남동구 성리로 25 (구월동),37.443845106,126.708624338
17,구월2동-006,코사마트구월점,인천광역시 남동구 석산로228번길 48 (구월동),37.460123793,126.702889998
18,구월2동-078,GS25 구월신세계점(오전/8),"인천광역시 남동구 호구포로 844, 106호(구월동)",37.402439213,126.709495385
19,구월2동-083,우리마트,인천광역시 남동구 용천로 103 (구월동),37.468273012,126.714324886
20,구월2동-084,GS25구월흥인,"인천광역시 남동구 용천로 87, 제104호(구월동,흥인빌딩)",37.457478313,126.714563420
21,구월2동-086,삼성홈마트(오전/10),인천광역시 남동구 용천로 86(구월동),37.468273012,126.714324886
22,구월3동-002,구월슈퍼,인천광역시 남동구 문화로145번길 13(구월동),37.448067141,126.699161404
23,구월3동-050,(주)코리아세븐 인천구월문화로점,"인천광역시 남동구 인주대로551번길33, 1층(구월동)",37.450617073,126.701896496
24,구월3동-058,세븐일레븐 구월통일점,인천광역시 남동구 인하로507번길 23(구월동),37.446079273,126.694414895
25,구월3동-059,(사)방주산업(오후/16),인천광역시 남동구 문화로145번길50(구월동),37.448067141,126.699161404
26,구월3동-077,윤주상사(대형폐기물),인천광역시 남동구 인하로411번길 26 (구월동),37.446079273,126.694414895
27,구월3동-107,CU 구월자올아이점(오후/19),"인천광역시 남동구 문화로133번길8-9,1층(구월동)",37.448067141,126.699161404
28,구월3동-135,홈마트 시청점,"인천광역시 남동구 구월남로130, 101호,102호(구월동)",37.453526601,126.702352054
